Age,Gender,Income,Occupation,Marital_Status,Household_Size,Weekly_Order_Frequency,Top_Priorities,Multi_Restaurant_Support,Flexible_Delivery_for_Freshness,Try_New_Food_Recommendations,Preferred_Cuisines,Wants_Personalised_Discounts,App_Frustrations,Sustainability_Importance,Importance_OnTime,Importance_DriverRating,Avg_Spend_Per_Order,Willing_To_Try_New_App,Max_Willingness_To_Pay,Likely_To_Recommend,Pay_Extra_For_Features,Order_Device,Delivery_Timing_Preference,Current_Satisfaction
45-54,Female,25K+,Student,Single,3,3–5,"Fresh/hot food, Customization",Yes,Depends,Often,"Japanese, Arabic, Fast Food",Yes,Non-transparent pricing,Rarely,3,3,50–75,No,30–50,4,Yes,Website,Depends,7
25-34,Male,4–8K,Homemaker,Single,4,3–5,Fresh/hot food,Yes,Depends,Often,"Japanese, Chinese",Yes,"Non-transparent pricing, Late delivery, Poor packaging",Often,4,3,25–50,Yes,30–50,3,Yes,Mobile App,Schedule,7
25-34,Female,8–15K,Unemployed,Single,3,0,Sustainability,Yes,Yes,Often,"Chinese, Japanese",Yes,Bad customer support,Rarely,4,3,25–50,Yes,30–50,3,Yes,Website,ASAP,5
25-34,Female,8–15K,Retired,Other,5,1–2,"Customization, Healthy options",No,No,Always,"Fast Food, Mexican, Indian",Yes,Cold food,Rarely,2,4,25–50,Yes,30–50,1,Yes,Mobile App,ASAP,7
25-34,Male,8–15K,Self-Employed,Divorced,3,0,"Discounts, Sustainability, Fast delivery",Yes,Yes,Sometimes,"Vegan, Mexican, Arabic, Fast Food",Yes,"Poor packaging, Late delivery",Rarely,4,3,25–50,Yes,50–75,4,Yes,Mobile App,ASAP,9
25-34,Female,15–25K,Retired,Other,4,3–5,"Discounts, Healthy options",Yes,Depends,Always,"Chinese, Mexican, Italian",Neutral,"Driver behavior, Bad customer support, Lack of discounts, Late delivery",Always,2,3,100+,Yes,75–100,5,Yes,WhatsApp,Depends,7
25-34,Female,0–4K,Self-Employed,Married,4,1–2,Low price,Yes,Yes,Always,"Indian, Mexican, Italian",Yes,"Lack of discounts, Limited restaurant choice, Bad customer support, Driver behavior",Often,4,2,25–50,Maybe,75–100,5,Yes,Website,Schedule,9
25-34,Male,8–15K,Homemaker,Married,4,3–5,"Fresh/hot food, Healthy options, Customization",Yes,Yes,Often,"Indian, Japanese, Mexican, Chinese",Yes,"Bad customer support, Cold food",Rarely,4,3,50–75,Yes,30–50,2,Depends,Other,ASAP,7
35-44,Female,25K+,Student,Married,5,1–2,"Fresh/hot food, Fast delivery, Variety of restaurants",Yes,Yes,Sometimes,"Mexican, Indian, Chinese",Yes,"Poor packaging, Late delivery, Bad customer support",Rarely,3,5,50–75,No,50–75,1,Yes,Mobile App,ASAP,5
18-24,Male,8–15K,Unemployed,Married,4,3–5,"Fast delivery, Fresh/hot food",Yes,Yes,Rarely,"Italian, Vegan, Chinese, Fast Food",No,"Limited restaurant choice, Lack of discounts, Cold food, Bad customer support",Often,2,3,10–25,Yes,30–50,3,Depends,Mobile App,ASAP,9
25-34,Female,25K+,Student,Single,1,3–5,"Discounts, Healthy options, Variety of restaurants",Yes,Depends,Sometimes,"Japanese, Arabic",Yes,"Driver behavior, Lack of discounts, Bad customer support",Often,3,3,75–100,Yes,30–50,2,Depends,Mobile App,Depends,4
25-34,Non-binary,4–8K,Retired,Single,7,1–2,Healthy options,Yes,Yes,Sometimes,"Vegan, Chinese",Yes,Limited restaurant choice,Always,1,2,25–50,Yes,50–75,4,Depends,Mobile App,Schedule,6
25-34,Female,8–15K,Student,Other,4,3–5,"Discounts, Customization, Low price",Yes,Yes,Often,"Arabic, Mexican",Yes,"Lack of discounts, Limited restaurant choice, Cold food",Never,3,1,75–100,No,30–50,1,Yes,Mobile App,Schedule,6
35-44,Male,4–8K,Homemaker,Divorced,3,1–2,Variety of restaurants,Yes,Yes,Rarely,"Italian, Chinese, Japanese",Yes,"Late delivery, Cold food, Poor packaging",Often,2,5,10–25,Yes,50–75,4,Depends,Mobile App,ASAP,8
25-34,Female,15–25K,Unemployed,Married,6,1–2,Fast delivery,Yes,No,Sometimes,"Indian, Mexican, Fast Food, Chinese",Yes,"Cold food, Limited restaurant choice, Poor packaging",Always,5,4,25–50,Yes,75–100,3,Yes,WhatsApp,Schedule,9
25-34,Female,25K+,Retired,Other,3,3–5,"Discounts, Fast delivery, Healthy options",Yes,Yes,Often,"Indian, Arabic, Japanese, Chinese",Yes,Driver behavior,Sometimes,4,4,25–50,No,50–75,1,Yes,Mobile App,Schedule,8
35-44,Male,4–8K,Unemployed,Single,6,1–2,"Discounts, Customization, Variety of restaurants",Yes,Yes,Rarely,"Fast Food, Chinese, Mexican, Italian",Yes,Late delivery,Often,3,4,25–50,Yes,75–100,3,Yes,WhatsApp,ASAP,8
18-24,Female,8–15K,Self-Employed,Single,3,6+,Discounts,No,Depends,Sometimes,"Fast Food, Mexican",No,Non-transparent pricing,Rarely,5,2,75–100,Yes,30–50,3,Depends,Mobile App,Schedule,9
35-44,Male,4–8K,Student,Divorced,5,1–2,"Healthy options, Fast delivery, Variety of restaurants",No,Yes,Sometimes,"Mexican, Arabic, Chinese, Indian",Yes,"Limited restaurant choice, Bad customer support, Driver behavior",Always,4,3,10–25,Yes,75–100,4,Yes,Other,ASAP,9
25-34,Female,8–15K,Unemployed,Divorced,3,0,Sustainability,Yes,No,Often,"Japanese, Italian, Mexican, Vegan",No,"Poor packaging, Bad customer support, Late delivery",Always,2,3,50–75,Yes,30–50,4,Depends,Mobile App,Schedule,4
18-24,Male,8–15K,Employed,Divorced,5,6+,Low price,Yes,No,Rarely,"Indian, Fast Food",Yes,"Poor packaging, Non-transparent pricing, Bad customer support",Sometimes,3,3,25–50,Yes,30–50,1,Yes,Website,Schedule,10
45-54,Male,25K+,Student,Other,5,0,"Sustainability, Fresh/hot food, Fast delivery",Yes,Yes,Often,"Indian, Vegan",Yes,Limited restaurant choice,Often,4,3,75–100,Yes,30–50,2,Depends,Mobile App,ASAP,9
55+,Male,8–15K,Self-Employed,Single,4,6+,"Discounts, Fresh/hot food, Customization",Yes,Depends,Sometimes,"Fast Food, Indian, Arabic, Italian",Yes,"Limited restaurant choice, Bad customer support",Always,2,5,50–75,Yes,50–75,3,Depends,WhatsApp,Schedule,6
45-54,Female,8–15K,Unemployed,Single,1,6+,Sustainability,No,No,Always,"Mexican, Vegan",Yes,Lack of discounts,Often,4,5,25–50,Maybe,50–75,3,Depends,Mobile App,Depends,7
25-34,Male,4–8K,Retired,Divorced,6,1–2,"Discounts, Fresh/hot food",No,Yes,Sometimes,"Arabic, Mexican, Indian, Vegan",Yes,"Non-transparent pricing, Driver behavior, Late delivery, Lack of discounts",Often,4,2,25–50,Maybe,150+,3,No,Mobile App,ASAP,4
18-24,Female,4–8K,Self-Employed,Married,4,1–2,Customization,Yes,Yes,Sometimes,"Mexican, Italian, Vegan",Yes,"Late delivery, Driver behavior, Non-transparent pricing, Cold food",Rarely,3,3,50–75,Maybe,75–100,4,Depends,Mobile App,ASAP,6
35-44,Male,4–8K,Employed,Divorced,4,1–2,"Variety of restaurants, Discounts, Sustainability",Yes,No,Rarely,"Italian, Indian, Chinese, Mexican",No,Poor packaging,Always,3,4,25–50,Maybe,50–75,1,Depends,Mobile App,Depends,6
25-34,Male,4–8K,Unemployed,Other,7,1–2,"Fast delivery, Discounts",Yes,Yes,Never,"Fast Food, Vegan, Italian",No,"Driver behavior, Bad customer support",Never,4,2,25–50,Yes,50–75,3,Yes,Phone Call,Schedule,6
18-24,Female,15–25K,Homemaker,Divorced,5,0,"Customization, Discounts, Healthy options",Yes,Depends,Sometimes,"Mexican, Arabic, Fast Food",No,"Non-transparent pricing, Limited restaurant choice, Poor packaging, Bad customer support",Sometimes,4,3,50–75,No,50–75,3,No,Mobile App,ASAP,8
25-34,Female,8–15K,Student,Divorced,5,1–2,"Healthy options, Discounts, Customization",No,Yes,Rarely,"Vegan, Chinese, Mexican, Fast Food",Yes,"Limited restaurant choice, Late delivery",Always,4,4,100+,Yes,75–100,3,Depends,Website,Depends,7
18-24,Male,8–15K,Retired,Other,6,1–2,"Fast delivery, Healthy options, Sustainability",No,Yes,Sometimes,"Japanese, Mexican, Italian",Yes,"Limited restaurant choice, Late delivery, Lack of discounts",Always,3,3,75–100,No,75–100,2,Yes,Mobile App,Schedule,4
45-54,Female,4–8K,Homemaker,Divorced,3,1–2,"Fast delivery, Healthy options",Yes,Yes,Sometimes,"Fast Food, Indian, Japanese",Yes,"Poor packaging, Non-transparent pricing, Late delivery",Sometimes,4,4,50–75,Yes,50–75,5,Depends,WhatsApp,Depends,4
25-34,Female,15–25K,Unemployed,Single,3,6+,Healthy options,Yes,Yes,Sometimes,"Chinese, Japanese, Italian, Arabic",Yes,"Cold food, Limited restaurant choice, Lack of discounts, Bad customer support",Often,1,3,50–75,Yes,50–75,4,Yes,Other,Schedule,3
35-44,Female,15–25K,Unemployed,Married,4,3–5,"Discounts, Low price, Fast delivery",Yes,Yes,Rarely,"Indian, Italian, Vegan",Yes,"Non-transparent pricing, Driver behavior",Often,5,1,100+,Maybe,75–100,5,No,Mobile App,Schedule,9
25-34,Male,4–8K,Self-Employed,Divorced,2,3–5,"Low price, Sustainability",Yes,Depends,Often,"Fast Food, Chinese",Yes,"Late delivery, Lack of discounts, Bad customer support",Often,3,2,50–75,No,30–50,4,Yes,Mobile App,ASAP,6
25-34,Male,15–25K,Unemployed,Other,2,1–2,"Discounts, Fresh/hot food",No,No,Always,"Arabic, Indian, Mexican",No,"Limited restaurant choice, Driver behavior, Lack of discounts, Late delivery",Sometimes,2,5,25–50,Maybe,30–50,4,Yes,Mobile App,Schedule,8
25-34,Female,8–15K,Retired,Married,3,3–5,"Fast delivery, Low price, Variety of restaurants",Yes,No,Rarely,"Vegan, Fast Food, Italian",Yes,"Limited restaurant choice, Non-transparent pricing, Poor packaging, Lack of discounts",Sometimes,4,4,75–100,Yes,50–75,3,Yes,Mobile App,ASAP,10
25-34,Male,4–8K,Homemaker,Other,2,1–2,"Discounts, Fast delivery, Low price",Yes,No,Rarely,"Mexican, Indian, Japanese",Yes,"Driver behavior, Poor packaging, Lack of discounts",Always,4,1,25–50,Yes,75–100,5,Depends,Mobile App,Depends,5
55+,Female,8–15K,Retired,Married,7,3–5,Sustainability,Yes,Depends,Always,"Arabic, Japanese, Vegan, Fast Food",Yes,"Bad customer support, Poor packaging, Non-transparent pricing",Sometimes,2,2,10–25,Yes,50–75,4,Yes,Mobile App,Depends,7
35-44,Female,8–15K,Employed,Married,3,6+,"Healthy options, Variety of restaurants, Customization",No,Yes,Never,"Indian, Fast Food, Japanese, Italian",Yes,Lack of discounts,Sometimes,3,4,50–75,Yes,100–150,3,Depends,Mobile App,ASAP,10
45-54,Female,4–8K,Employed,Divorced,5,1–2,"Customization, Healthy options, Low price",Yes,Depends,Always,"Japanese, Italian, Arabic, Indian",Neutral,"Cold food, Lack of discounts",Always,3,3,10–25,Yes,30–50,5,Depends,Mobile App,Depends,6
45-54,Female,25K+,Student,Single,4,3–5,"Customization, Fresh/hot food, Healthy options",No,Yes,Never,"Vegan, Japanese, Fast Food",Yes,Cold food,Rarely,3,1,25–50,Yes,50–75,1,No,Mobile App,ASAP,6
35-44,Prefer not to say,15–25K,Student,Divorced,1,3–5,"Discounts, Sustainability",No,Depends,Often,"Indian, Fast Food, Chinese, Italian",Neutral,"Lack of discounts, Driver behavior, Non-transparent pricing",Sometimes,5,5,25–50,Yes,50–75,2,Yes,Mobile App,Schedule,8
45-54,Male,8–15K,Employed,Other,4,6+,Fast delivery,No,No,Sometimes,"Vegan, Fast Food, Mexican",Yes,"Driver behavior, Lack of discounts, Poor packaging, Late delivery",Never,3,4,50–75,Yes,100–150,5,Yes,Mobile App,ASAP,10
18-24,Female,8–15K,Unemployed,Other,3,3–5,"Customization, Fresh/hot food",Yes,Yes,Always,"Italian, Mexican",Yes,"Driver behavior, Late delivery",Always,3,2,100+,No,30–50,4,No,Mobile App,ASAP,8
25-34,Male,8–15K,Retired,Married,7,1–2,"Healthy options, Customization, Sustainability",Yes,Yes,Sometimes,"Indian, Mexican",No,"Bad customer support, Late delivery, Poor packaging",Never,3,5,25–50,Maybe,50–75,1,Yes,Mobile App,ASAP,5
18-24,Male,8–15K,Employed,Married,3,1–2,"Low price, Fast delivery",Yes,Yes,Often,"Italian, Japanese, Arabic, Fast Food",Yes,"Cold food, Poor packaging",Sometimes,2,2,25–50,Yes,30–50,4,No,Mobile App,ASAP,5
25-34,Female,8–15K,Student,Single,4,0,"Variety of restaurants, Sustainability",Yes,Yes,Rarely,"Vegan, Fast Food, Arabic, Italian",Yes,Lack of discounts,Sometimes,4,3,25–50,Yes,50–75,2,Depends,Phone Call,ASAP,6
25-34,Female,4–8K,Employed,Divorced,7,3–5,"Sustainability, Fresh/hot food",Yes,Yes,Sometimes,"Fast Food, Japanese",Yes,"Driver behavior, Lack of discounts, Late delivery, Non-transparent pricing",Sometimes,3,3,50–75,Yes,75–100,2,Yes,Mobile App,ASAP,3
25-34,Prefer not to say,8–15K,Unemployed,Other,7,0,"Fresh/hot food, Sustainability, Fast delivery",Yes,Yes,Often,"Chinese, Arabic, Italian, Vegan",Yes,"Driver behavior, Bad customer support, Late delivery, Cold food",Always,3,1,50–75,Yes,50–75,5,No,Website,Depends,6
45-54,Female,15–25K,Employed,Married,7,3–5,"Discounts, Healthy options, Fresh/hot food",Yes,Yes,Sometimes,"Arabic, Fast Food, Vegan, Chinese",No,"Lack of discounts, Bad customer support, Non-transparent pricing, Late delivery",Rarely,4,4,25–50,No,75–100,5,Depends,Mobile App,ASAP,7
25-34,Male,8–15K,Retired,Single,6,1–2,"Low price, Healthy options, Customization",No,Depends,Always,"Mexican, Japanese, Arabic, Italian",No,"Non-transparent pricing, Bad customer support, Lack of discounts",Sometimes,3,4,25–50,No,100–150,5,Depends,Mobile App,Schedule,7
25-34,Male,4–8K,Homemaker,Other,3,1–2,"Discounts, Fast delivery",Yes,No,Sometimes,"Vegan, Indian",No,"Lack of discounts, Limited restaurant choice, Late delivery",Always,3,3,50–75,Maybe,30–50,2,Depends,Mobile App,ASAP,4
25-34,Female,15–25K,Unemployed,Married,2,1–2,"Customization, Low price",Yes,Depends,Often,"Vegan, Mexican",Yes,Lack of discounts,Always,3,4,50–75,Yes,75–100,3,Depends,Mobile App,ASAP,7
18-24,Male,4–8K,Student,Other,2,3–5,Customization,No,No,Sometimes,"Indian, Chinese, Italian",Yes,Bad customer support,Always,4,1,25–50,Maybe,30–50,3,Yes,Website,Depends,5
45-54,Male,4–8K,Retired,Single,3,1–2,"Fresh/hot food, Discounts, Variety of restaurants",No,Yes,Always,"Fast Food, Japanese",Yes,"Driver behavior, Lack of discounts, Cold food",Sometimes,5,4,25–50,Yes,30–50,4,Depends,Mobile App,Schedule,6
18-24,Male,4–8K,Employed,Single,3,1–2,"Fresh/hot food, Variety of restaurants",No,Yes,Always,"Italian, Indian",No,"Cold food, Late delivery, Driver behavior, Lack of discounts",Sometimes,5,4,25–50,Yes,50–75,3,Depends,Other,ASAP,5
55+,Male,8–15K,Employed,Other,6,1–2,"Sustainability, Fast delivery",Yes,No,Sometimes,"Vegan, Arabic",Neutral,Cold food,Often,3,3,100+,Yes,75–100,5,No,Mobile App,Schedule,9
35-44,Male,15–25K,Homemaker,Divorced,2,1–2,Fresh/hot food,No,Depends,Often,"Indian, Italian",Yes,"Late delivery, Poor packaging",Often,5,4,75–100,No,50–75,4,Yes,Mobile App,Schedule,5
25-34,Male,8–15K,Student,Other,3,1–2,"Sustainability, Variety of restaurants, Fresh/hot food",Yes,Yes,Often,"Fast Food, Chinese, Mexican",Yes,"Bad customer support, Driver behavior, Limited restaurant choice, Cold food",Sometimes,2,2,50–75,Yes,30–50,5,No,Mobile App,ASAP,10
18-24,Male,4–8K,Student,Married,3,3–5,"Healthy options, Sustainability",Yes,Depends,Sometimes,"Vegan, Chinese, Indian",Yes,"Poor packaging, Bad customer support, Lack of discounts",Sometimes,3,5,75–100,Yes,100–150,2,Yes,Mobile App,ASAP,7
45-54,Male,15–25K,Self-Employed,Divorced,6,1–2,"Low price, Fresh/hot food",Yes,Depends,Often,"Fast Food, Mexican, Chinese",Yes,Poor packaging,Always,4,4,50–75,No,75–100,2,Yes,Mobile App,Depends,8
35-44,Prefer not to say,15–25K,Student,Married,6,0,"Discounts, Healthy options, Sustainability",Yes,No,Rarely,"Fast Food, Chinese, Italian, Arabic",Yes,Late delivery,Often,4,4,75–100,Yes,30–50,3,No,Mobile App,ASAP,7
35-44,Male,15–25K,Homemaker,Other,4,3–5,Fast delivery,Yes,Depends,Often,"Indian, Vegan, Chinese, Japanese",Yes,"Limited restaurant choice, Driver behavior, Bad customer support, Cold food",Always,4,3,10–25,Yes,50–75,2,No,Website,Schedule,5
35-44,Male,4–8K,Self-Employed,Divorced,6,6+,"Fresh/hot food, Customization, Healthy options",Yes,Yes,Rarely,"Indian, Japanese, Italian, Chinese",Yes,"Lack of discounts, Bad customer support",Rarely,3,4,25–50,Yes,30–50,4,No,Website,ASAP,8
18-24,Female,8–15K,Self-Employed,Married,1,3–5,"Variety of restaurants, Low price, Customization",Yes,Depends,Rarely,"Japanese, Chinese, Arabic",No,"Lack of discounts, Driver behavior, Late delivery, Cold food",Sometimes,3,5,50–75,Yes,50–75,4,Yes,Mobile App,ASAP,6
25-34,Male,25K+,Employed,Other,2,1–2,"Sustainability, Fresh/hot food, Discounts",Yes,No,Sometimes,"Arabic, Indian, Chinese",No,"Non-transparent pricing, Poor packaging",Never,3,5,50–75,No,50–75,3,Depends,Mobile App,ASAP,7
18-24,Female,15–25K,Employed,Other,4,3–5,"Healthy options, Fast delivery",Yes,Yes,Sometimes,"Chinese, Italian, Indian",Neutral,"Poor packaging, Cold food",Often,3,3,25–50,Yes,50–75,4,Yes,Mobile App,ASAP,8
45-54,Female,0–4K,Student,Divorced,1,6+,Fast delivery,No,Depends,Often,"Indian, Vegan, Fast Food",Yes,"Late delivery, Bad customer support, Cold food, Non-transparent pricing",Rarely,4,4,25–50,Yes,30–50,5,Yes,Mobile App,Schedule,10
35-44,Male,4–8K,Self-Employed,Other,3,3–5,"Healthy options, Sustainability",Yes,Yes,Always,"Italian, Vegan",Yes,"Lack of discounts, Late delivery, Bad customer support, Driver behavior",Sometimes,3,5,25–50,Yes,75–100,4,No,Website,ASAP,8
25-34,Male,8–15K,Employed,Single,3,1–2,"Discounts, Variety of restaurants",Yes,Yes,Sometimes,"Chinese, Fast Food, Vegan",Yes,Bad customer support,Often,3,3,25–50,Maybe,30–50,4,Yes,Mobile App,ASAP,9
18-24,Female,25K+,Homemaker,Married,4,3–5,Sustainability,Yes,Yes,Rarely,"Arabic, Indian, Italian",Yes,"Lack of discounts, Late delivery, Driver behavior",Often,2,5,25–50,Yes,50–75,5,Yes,Website,ASAP,8
25-34,Female,8–15K,Employed,Married,6,3–5,"Fresh/hot food, Healthy options, Sustainability",No,Yes,Often,"Chinese, Japanese, Fast Food",Yes,"Late delivery, Poor packaging, Driver behavior",Sometimes,4,4,50–75,No,30–50,5,Yes,WhatsApp,Depends,6
25-34,Male,8–15K,Unemployed,Other,7,1–2,"Healthy options, Fresh/hot food",No,Yes,Sometimes,"Italian, Japanese, Fast Food, Indian",No,"Bad customer support, Non-transparent pricing",Rarely,4,2,75–100,Yes,50–75,5,Depends,Mobile App,ASAP,8
35-44,Female,4–8K,Unemployed,Other,7,1–2,"Variety of restaurants, Fast delivery",Yes,Depends,Sometimes,"Fast Food, Italian, Chinese",Yes,Limited restaurant choice,Often,1,3,50–75,Yes,30–50,3,No,Mobile App,ASAP,6
35-44,Male,8–15K,Employed,Single,3,3–5,"Sustainability, Fresh/hot food",Yes,Yes,Sometimes,"Fast Food, Arabic, Italian",Neutral,"Cold food, Late delivery, Non-transparent pricing, Bad customer support",Always,4,2,75–100,Maybe,50–75,4,Yes,Mobile App,ASAP,6
45-54,Prefer not to say,15–25K,Self-Employed,Divorced,7,3–5,"Healthy options, Low price, Discounts",Yes,Yes,Sometimes,"Chinese, Japanese, Italian, Indian",No,Cold food,Sometimes,3,3,75–100,Yes,50–75,3,Yes,Mobile App,Schedule,4
25-34,Male,8–15K,Self-Employed,Other,5,1–2,"Fresh/hot food, Customization, Variety of restaurants",No,Yes,Sometimes,"Italian, Arabic, Indian, Vegan",No,Bad customer support,Never,4,3,25–50,Yes,30–50,3,No,Mobile App,ASAP,8
18-24,Female,15–25K,Retired,Other,4,3–5,"Fast delivery, Sustainability",No,Yes,Often,"Vegan, Chinese, Italian, Mexican",No,Limited restaurant choice,Sometimes,3,4,25–50,Yes,30–50,4,Depends,Website,ASAP,6
35-44,Female,25K+,Unemployed,Other,1,1–2,Low price,No,No,Sometimes,"Italian, Fast Food, Vegan, Arabic",Yes,Driver behavior,Often,2,5,10–25,Yes,50–75,1,No,Mobile App,ASAP,8
35-44,Female,4–8K,Homemaker,Other,4,1–2,"Low price, Customization",Yes,No,Often,"Fast Food, Mexican",No,"Bad customer support, Poor packaging",Often,5,3,75–100,Yes,30–50,3,Depends,Website,ASAP,7
35-44,Female,8–15K,Self-Employed,Married,2,3–5,"Fast delivery, Healthy options, Customization",Yes,Depends,Sometimes,"Chinese, Fast Food, Indian",Yes,Late delivery,Often,5,3,10–25,Maybe,50–75,2,No,Website,Depends,6
35-44,Male,4–8K,Student,Other,6,1–2,"Fast delivery, Fresh/hot food",No,No,Sometimes,"Mexican, Indian, Chinese, Fast Food",No,"Late delivery, Driver behavior, Lack of discounts, Bad customer support",Rarely,3,3,50–75,Maybe,50–75,2,Depends,Phone Call,Schedule,5
25-34,Male,15–25K,Unemployed,Married,6,1–2,"Fast delivery, Variety of restaurants",Yes,Yes,Often,"Vegan, Italian, Fast Food, Chinese",Yes,"Bad customer support, Cold food, Driver behavior, Lack of discounts",Sometimes,4,1,25–50,Yes,50–75,4,Depends,Mobile App,Schedule,9
25-34,Male,8–15K,Homemaker,Other,4,6+,"Healthy options, Discounts",Yes,Depends,Sometimes,"Fast Food, Mexican, Indian, Italian",Yes,"Driver behavior, Lack of discounts, Cold food, Late delivery",Sometimes,3,4,75–100,Yes,100–150,3,Depends,Phone Call,Depends,6
25-34,Male,8–15K,Homemaker,Divorced,3,1–2,"Variety of restaurants, Healthy options, Fast delivery",Yes,No,Sometimes,"Japanese, Vegan",Yes,"Late delivery, Driver behavior, Lack of discounts, Non-transparent pricing",Often,1,3,25–50,No,50–75,3,Depends,Mobile App,Depends,10
18-24,Female,15–25K,Self-Employed,Single,3,1–2,"Low price, Variety of restaurants, Fast delivery",No,Yes,Often,"Vegan, Chinese",Yes,Limited restaurant choice,Rarely,5,3,75–100,Yes,75–100,3,No,Mobile App,ASAP,5
18-24,Male,8–15K,Homemaker,Divorced,5,6+,"Customization, Discounts, Low price",Yes,No,Sometimes,"Chinese, Mexican, Fast Food, Indian",Yes,"Lack of discounts, Driver behavior",Sometimes,2,3,25–50,Yes,75–100,2,Depends,Other,Depends,10
18-24,Male,25K+,Self-Employed,Other,5,3–5,"Customization, Fast delivery",Yes,Depends,Often,"Japanese, Arabic",Yes,"Cold food, Non-transparent pricing",Never,5,4,25–50,No,100–150,3,No,WhatsApp,Schedule,7
35-44,Non-binary,8–15K,Employed,Other,6,3–5,"Discounts, Fresh/hot food, Fast delivery",Yes,No,Sometimes,"Fast Food, Japanese, Indian",No,"Late delivery, Non-transparent pricing",Sometimes,4,2,50–75,No,30–50,1,Depends,Mobile App,Schedule,9
25-34,Female,4–8K,Unemployed,Other,5,3–5,Discounts,No,Yes,Often,"Italian, Vegan, Indian",Yes,"Non-transparent pricing, Bad customer support, Late delivery, Poor packaging",Rarely,4,3,100+,No,75–100,3,Yes,Website,Depends,4
25-34,Female,8–15K,Retired,Divorced,1,1–2,"Variety of restaurants, Low price, Healthy options",Yes,No,Rarely,"Fast Food, Mexican, Indian",Yes,Cold food,Rarely,3,3,50–75,No,100–150,5,No,Mobile App,Depends,4
